Name of Borrower,Civil Status,Date of Birth,Place of Birth,Citizenship,Home Address,Home Address Ownership,Government Issued ID,Mobile No.,Email,Mother’s Maiden Name,Registered Business Name,Principal Business Address,Business Address Ownership,Years in Operation,Website/Social Media,Land Size (hectares),Annual Sales/Revenue,Loan Amount Applied For,Tenor (months),Repayment Frequency,Loan Facility,Loan Purpose,Type of Loan,Collateral,Source of Funds,Primary Crop Type,Farming Method,Irrigation Practices,Fertilizer & Pesticide Use,Soil & Water Conservation,Use of Renewable Energy,Employment (Workers),Fair Wages,Community Participation,Training & Education,Inclusivity,Record-Keeping,Certifications,Regular Buyers,Business Compliance,Environmental Score,Social Score,Governance Score,Business Score,Financial Score,AgriScore,Risk Category,Improvement Tips
Emily Edwards,Married,12/28/1976,Stephanie Ville,Filipino,"1528 Banahaw Street, Pasig, 0666 Metro Manila",Rented,PhilSys-3858-2801,09020539502,willisanna@example.com,Santiago,Jenkins Farm,"B10 L77 Moonstone Avenue, Moore Village, Ganassi, 7443 Dinagat Islands",Rented,2,facebook.com/brucefarm,2.14,541409,325820,12,Weekly,Term Loan,Loan takeout/refinancing,Secured Loan,Others,Salary/Allowance,Rice (Irrigated),Transitioning to Organic,Flood,Combination,Crop Rotation,No,7,Yes,Coop Member,No training,Employs women,Digital,Organic,None,None,20,13,6,4,14,57,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Phillip Andrews,Single,11/05/1988,Chelsea Ville,Filipino,"Block 11 Lot 45 White Estates 7, Thomas Road, Caloocan, 0587 Metro Manila",Owned (unencumbered),PhilSys-6277-3430,09124998569,nicholaschavez@example.org,Wood,Griffith Farm,"9769 Ware Boulevard, Craig Grove Phase 8, Uson, 9236 Misamis Occidental",Rented,15,facebook.com/lawsonfarm,5.55,551096,101998,12,Lump sum,Credit line,Loan takeout/refinancing,Secured Loan,Tractor,Inheritance,Vegetables,Transitioning to Organic,Sprinkler,Synthetic,Crop Rotation,No,6,No,Not involved,No training,Employs women,Manual,Barangay Certificate,Local sari-sari stores,Business Plan,21,2,9,10,14,56,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Daniel Hunt,Single,02/19/1983,Daniel Ville,Filipino,"B08 L51 Smith Homes, 99th Boulevard, Hungduan, 3035 Laguna",Owned (unencumbered),PhilSys-8075-2582,09528098851,smithjulie@example.org,Anderson,Patel Farm,"5803 Sanders Street, Citrine Subdivision Phase 2, Lantawan, 4208 Oriental Mindoro",Living with relatives,12,facebook.com/berryfarm,8.86,886730,271740,12,Quarterly,Term Loan,Acquisition of real estate,Unsecured Loan,Others,Salary/Allowance,Rice (Rain-fed),Organic,Sprinkler,Organic,Crop Rotation,No,8,No,Coop Member,No training,None,Manual,Barangay Certificate,Local sari-sari stores,DTI,30,5,9,12,17,73,Medium Risk,Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Jennifer Wilson,Single,01/24/1961,George Ville,Filipino,"B14 L14 Graham Subdivision, Azalea Extension, Lambunao, 8790 Davao del Norte",Owned (mortgaged),PhilSys-5477-6062,09550229612,kimberly18@example.net,Wilson,Hicks Farm,"Block 24 Lot 83 Young Estates 5, 23rd Road, Tumauini, 7308 Compostela Valley",Owned (unencumbered),3,facebook.com/beanfarm,7.72,325583,247234,48,Annually,Term Loan,Construction/Development of real estate,Secured Loan,Warehouse receipt,Others,Vegetables,Conventional,Rain-fed,Organic,Composting,Yes,10,Yes,Supplier to community,No training,None,Digital,Barangay Certificate,None,None,14,9,6,6,11,46,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Julie Elliott,Separated,01/29/1999,Erin Ville,Filipino,"3F Harrison Place 5, 9690 Bell Avenue, Palo, 9351 Agusan del Sur",Owned (mortgaged),PhilSys-9394-2864,09561497840,woodjustin@example.net,Lin,Wyatt Farm,"6300 Palanan Road, Cole Grove, Lazi, 6674 Capiz",Owned (mortgaged),13,facebook.com/rosariofarm,9.86,157443,54030,24,Quarterly,Credit line,Purchase of biological asset,Unsecured Loan,Warehouse receipt,Savings,Vegetables,Conventional,Rain-fed,Synthetic,Water-Saving,Yes,2,No,Not involved,Attended training,None,None,GAP,Local sari-sari stores,None,9,4,2,12,12,39,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Robert Monroe,Single,05/21/1965,Benjamin Ville,Filipino,"8565 Batino Drive Extension, Ipil Subdivision 6, Sulat, 7214 Zamboanga del Sur",Living with relatives,PhilSys-1307-8532,09159696641,cameron18@example.net,Hughes,King Farm,"2464 Amethyst Road, Rangel Homes, Tunga, 9105 Camiguin",Living with relatives,1,facebook.com/larsonfarm,9.7,280222,470123,48,Quarterly,Credit line,Loan takeout/refinancing,Unsecured Loan,Tractor,Inheritance,Corn,Transitioning to Organic,Rain-fed,Synthetic,Mulching,No,3,No,Coop Member,Attended training,None,None,Organic,Rice mill,DTI,13,9,7,10,10,49,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Emily Bennett,Separated,12/31/1981,Elizabeth Ville,Filipino,"Block 01 Lot 47 Diamond Street, Nipa Grove, Garcia Hernandez, 5781 Capiz",Owned (mortgaged),PhilSys-4871-2684,09243292127,phillipskristin@example.net,Wise,Conley Farm,"5518 Banaba Road, Caramoan, 8064 Compostela Valley",Living with relatives,25,facebook.com/guerrafarm,6.07,707616,285355,36,Quarterly,Credit line,Loan takeout/refinancing,Unsecured Loan,None,Inheritance,Coconut,Mixed,Drip,Combination,Crop Rotation,No,8,Yes,Supplier to community,No training,Employs women,Manual,Organic,Supermarket,DTI,21,11,9,13,15,69,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Rhonda Martin,Single,06/06/1989,Robert Ville,Filipino,"4669 Sagittarius Drive, Collins Village, Davao City, 9006 Surigao del Norte",Owned (unencumbered),PhilSys-9307-7299,09798079359,smurray@example.com,Shaw,Barnes Farm,"855 E Scorpio Street, Sanchez-Mira, 2270 Rizal",Living with relatives,17,facebook.com/rosalesfarm,2.36,164879,286203,12,Quarterly,Credit line,Business expansion,Unsecured Loan,Farm lot title,Asset Sale,Coconut,Transitioning to Organic,Sprinkler,Combination,None,Yes,5,No,Supplier to community,No training,Employs women,Digital,None,Local sari-sari stores,DTI,23,5,9,9,11,57,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Phillip Nelson,Single,07/31/1994,Mariah Ville,Filipino,"437 Unit F Arayat Extension, Malabang, 8365 Lanao del Norte",Rented,PhilSys-2548-7333,09449251925,brooksanthony@example.org,Combs,Santos Farm,"7741E Comet Street, Panglao, 9337 Sultan Kudarat",Rented,21,facebook.com/smithfarm,7.29,510997,117607,12,Quarterly,Term Loan,Purchase of equipment/motor vehicles,Secured Loan,Tractor,Others,Coconut,Conventional,Sprinkler,Combination,Mulching,Yes,5,No,Coop Member,Attended training,Employs women,Digital,Fair Trade,Rice mill,Barangay Clearance,18,11,11,12,16,68,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
David Conley,Married,12/28/1996,Daniel Ville,Filipino,"783 54th Road, Tampakan, 3722 Bataan",Owned (unencumbered),PhilSys-5846-2657,09888059296,copelandvincent@example.net,Smith,Robertson Farm,"26-G Dungon Drive, Midsayap, 2617 Batanes",Owned (mortgaged),6,facebook.com/millsfarm,2.63,826501,454277,24,Annually,Credit line,Loan takeout/refinancing,Secured Loan,Tractor,Inheritance,Corn,Mixed,Sprinkler,Organic,None,Yes,4,No,Coop Member,No training,None,None,Barangay Certificate,None,DTI,22,5,7,5,13,52,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Troy Stephens,Widow/er,03/11/1994,Peter Ville,Filipino,"Block 09 Lot 96 Kelly Avenue, Quinn Estates, Pasay, 0673 Metro Manila",Living with relatives,PhilSys-3655-4271,09924075818,bellmatthew@example.net,Thompson,Maxwell Farm,"16th Floor Brown Suites, 606 Emerald Avenue, Dinagat, 5578 Apayao",Owned (unencumbered),10,facebook.com/stewartfarm,1.75,268099,193021,48,Lump sum,Credit line,Purchase of biological asset,Secured Loan,Farm lot title,Asset Sale,Fruits,Mixed,Rain-fed,Synthetic,Crop Rotation,No,8,No,Coop Member,No training,Female-led,Digital,Fair Trade,Local sari-sari stores,DTI,11,8,11,7,11,48,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
James Ochoa,Single,11/11/1991,Benjamin Ville,Filipino,"5439 Aquamarine Street, Natonin, 5593 Nueva Vizcaya",Rented,PhilSys-3392-3254,09047277901,ykline@example.com,Beltran,Crawford Farm,"4370 Acosta Avenue, Gardner Homes 2, Barugo, 3193 Kalinga",Owned (unencumbered),9,facebook.com/parkerfarm,2.94,256782,337731,48,Weekly,Term Loan,Construction/Development of real estate,Secured Loan,Farm lot title,Revenue,Rice (Rain-fed),Transitioning to Organic,Sprinkler,Organic,Crop Rotation,No,9,Yes,Not involved,Attended training,None,Manual,GAP,None,Business Plan,26,10,9,5,12,62,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Jessica Norris,Annulled,07/27/1983,Bobby Ville,Filipino,"Block 21 Lot 08 Lambert Extension, Cisneros Estates 8, Aroroy, 5758 Biliran",Rented,PhilSys-4941-7825,09218518888,kimberlydiaz@example.com,Herring,Johnson Farm,"Block 12 Lot 57 Berry Road, Cattleya Grove Phase 4, Buenavista, 1956 Camarines Sur",Owned (unencumbered),13,facebook.com/porterfarm,8.86,145649,383274,48,Quarterly,Term Loan,Purchase of equipment/motor vehicles,Unsecured Loan,Warehouse receipt,Revenue,Vegetables,Organic,Rain-fed,Combination,Mulching,Yes,0,No,Not involved,No training,None,Manual,Barangay Certificate,None,Barangay Clearance,23,0,9,9,7,48,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Justin Green,Married,05/11/1977,Jason Ville,Filipino,"B04 L18 Hayes Street, Apo Homes 6, Balud, 6826 Leyte",Owned (unencumbered),PhilSys-8498-1605,09430305486,melissa25@example.net,Walker,Galloway Farm,"5913 Unit A Molave Drive Extension, San Ricardo, 7531 Sultan Kudarat",Living with relatives,9,facebook.com/hensonfarm,1.33,778324,150193,36,Quarterly,Credit line,Purchase of biological asset,Secured Loan,Warehouse receipt,Revenue,Vegetables,Transitioning to Organic,Sprinkler,Combination,Water-Saving,No,5,Yes,Supplier to community,No training,Employs women,None,GAP,Local sari-sari stores,None,24,11,2,7,17,61,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
James Love,Single,03/21/1992,Kayla Ville,Filipino,"B15 L60 Iriga Village Phase 3, 56th Road, Las Piñas, 0654 Metro Manila",Living with relatives,PhilSys-3956-9937,09451154479,kevinmartin@example.net,Perez,Meza Farm,"B09 L26 Iriga Homes, Mahogany Avenue, Tinoc, 2540 Zambales",Living with relatives,6,facebook.com/davidfarm,7.21,468623,284424,12,Quarterly,Term Loan,Acquisition of real estate,Unsecured Loan,Farm lot title,Others,Coconut,Transitioning to Organic,Drip,Combination,Composting,Yes,2,No,Coop Member,Attended training,Female-led,Manual,GAP,Supermarket,None,26,12,4,10,12,64,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Matthew Le,Annulled,08/15/1982,Marcia Ville,Filipino,"17F Earth Apartment, 8160 Virgo Drive, Parañaque, 1389 Metro Manila",Owned (unencumbered),PhilSys-3513-8371,09557192856,lindacohen@example.com,Chavez,Barker Farm,"Block 15 Lot 27 Topaz Boulevard, Dao Subdivision, Cabuyao, 4965 Mountain Province",Rented,21,facebook.com/robertsonfarm,3.51,218959,63586,24,Annually,Term Loan,Business expansion,Unsecured Loan,Warehouse receipt,Savings,Coconut,Transitioning to Organic,Flood,Combination,Mulching,No,3,Yes,Coop Member,Attended training,Employs women,Manual,Barangay Certificate,Local sari-sari stores,DTI,19,17,9,10,12,67,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
David Martinez,Separated,03/29/1990,Donald Ville,Filipino,"Block 08 Lot 21 Sunstone Street, Hines Village, Rizal, 3762 Quezon",Owned (unencumbered),PhilSys-9882-5757,09422583132,tyler16@example.net,Bryant,Allen Farm,"829 Ruby Road, Tuguegarao, 4604 Pangasinan",Owned (mortgaged),26,facebook.com/mitchellfarm,5.45,478427,340466,36,Annually,Credit line,Business expansion,Unsecured Loan,Farm lot title,Savings,Fruits,Transitioning to Organic,Sprinkler,Synthetic,None,Yes,2,No,Not involved,Attended training,Employs women,Digital,None,Supermarket,Barangay Clearance,20,6,9,12,10,57,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Brian Anderson,Annulled,08/23/1977,Kathryn Ville,Filipino,"9344 Cabbage Drive Extension, Parañaque, 0550 Metro Manila",Owned (mortgaged),PhilSys-3114-8088,09801824225,wgordon@example.net,Ramirez,Hays Farm,"2109 Long Street, Loay, 6842 Negros Oriental",Owned (mortgaged),12,facebook.com/fischerfarm,9.53,644103,198923,12,Quarterly,Credit line,Purchase of equipment/motor vehicles,Secured Loan,Tractor,Others,Vegetables,Conventional,Flood,Combination,None,Yes,2,No,Not involved,Attended training,Female-led,Manual,Organic,Supermarket,Barangay Clearance,12,7,9,12,15,55,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Jordan Porter,Annulled,09/24/1962,Derrick Ville,Filipino,"7488 78th Street, Murphy Homes 3, Mapanas, 8625 South Cotabato",Living with relatives,PhilSys-1496-9159,09844736471,william88@example.com,Erickson,Evans Farm,"Block 22 Lot 15 Antares Homes, Antares Road, Iriga, 9869 South Cotabato",Owned (unencumbered),6,facebook.com/perezfarm,4.96,607774,293501,24,Quarterly,Credit line,Acquisition of real estate,Secured Loan,Warehouse receipt,Inheritance,Rice (Rain-fed),Mixed,Rain-fed,Synthetic,Composting,No,1,No,Supplier to community,Attended training,Female-led,Manual,Organic,Supermarket,None,11,10,4,9,12,46,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
John Warren,Annulled,07/08/1985,Lorraine Ville,Filipino,"Unit 429 Lanzones Building Tower 7, 3341 Mayon Street, Taguig, 0527 Metro Manila",Living with relatives,PhilSys-5067-3616,09595327877,aprilhoffman@example.net,Mendoza,Bennett Farm,"Block 18 Lot 46 Jupiter Road, Bernard Grove Phase 9, Koronadal, 8321 Davao Occidental",Rented,16,facebook.com/wisefarm,1.21,512344,314998,48,Monthly,Credit line,Business expansion,Secured Loan,Farm lot title,Revenue,Vegetables,Transitioning to Organic,Sprinkler,Synthetic,None,Yes,1,No,Coop Member,No training,None,Digital,Barangay Certificate,Supermarket,Business Plan,20,5,11,8,13,57,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Melissa Burns,Widow/er,04/18/1992,Ann Ville,Filipino,"8900 Makiling Street, Roberts Homes, Barotac Viejo, 3268 Palawan",Owned (unencumbered),PhilSys-4189-6939,09841687849,julie33@example.net,Nelson,Hoffman Farm,"9615 32nd Avenue, San Benito, 2774 Ifugao",Owned (unencumbered),5,facebook.com/williamsfarm,9.78,513037,245663,36,Lump sum,Term Loan,Purchase of biological asset,Unsecured Loan,Tractor,Salary/Allowance,Corn,Transitioning to Organic,Rain-fed,Organic,Crop Rotation,Yes,5,No,Not involved,No training,Female-led,None,None,Rice mill,DTI,21,3,5,10,12,51,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Mitchell Garcia,Annulled,12/31/1968,Tamara Ville,Filipino,"Block 21 Lot 26 Lapis Lazuli Drive, Velez Cove Phase 4, San Felipe, 4875 Apayao",Rented,PhilSys-3662-7438,09949588879,robertmonroe@example.org,Osborn,Sanders Farm,"35F Evans Towers 2, 5490 Peridot Street, San Lorenzo Ruiz, 3997 Quezon",Rented,16,facebook.com/smallfarm,8.34,486251,223664,12,Annually,Term Loan,Purchase of biological asset,Unsecured Loan,Others,Inheritance,Vegetables,Organic,Rain-fed,Combination,Water-Saving,Yes,8,No,Coop Member,Attended training,Female-led,None,Organic,Rice mill,Business Plan,24,12,7,12,14,69,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Jonathan Nelson,Widow/er,04/24/1967,Francisco Ville,Filipino,"Room 222 Tulip Condominiums 3, 6644 Mayon Drive, Maripipi, 5695 Cebu",Rented,PhilSys-7861-3481,09636897028,thomasboyle@example.org,Green,Young Farm,"Block 19 Lot 93 Green Homes Phase 4, Contreras Road, Castilla, 6530 Leyte",Owned (mortgaged),18,facebook.com/vaughnfarm,3.93,794395,300804,48,Quarterly,Credit line,Loan takeout/refinancing,Secured Loan,Others,Savings,Coconut,Mixed,Sprinkler,Organic,Composting,No,8,No,Coop Member,No training,Employs women,None,Fair Trade,None,DTI,23,7,7,7,16,60,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Teresa Richardson,Widow/er,09/04/1974,Susan Ville,Filipino,"8F Santol Condominiums 4, 9762 Fox Road, Madalum, 2169 Tarlac",Rented,PhilSys-5480-5715,09198665240,brownamy@example.net,Harris,Herrera Farm,"7240 Frazier Street, Arayat Village 8, Balangiga, 3707 Bulacan",Rented,23,facebook.com/palmerfarm,1.71,563864,393918,36,Annually,Credit line,Construction/Development of real estate,Secured Loan,Others,Others,Vegetables,Organic,Rain-fed,Combination,None,Yes,3,Yes,Not involved,Attended training,None,Manual,Organic,Local sari-sari stores,None,21,10,4,9,12,56,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Anthony Ford,Separated,08/13/1980,Randy Ville,Filipino,"1197 Henderson Street, Michael Cove Phase 8, Aparri, 6287 Samar",Living with relatives,PhilSys-2647-3252,09082677345,kaylacannon@example.net,Brewer,Fisher Farm,"Block 13 Lot 49 Vega Road Extension, Valdez Homes Phase 2, Cuyo, 9700 Lanao del Norte",Rented,21,facebook.com/ricefarm,1.53,906066,96903,24,Lump sum,Credit line,Construction/Development of real estate,Secured Loan,Tractor,Revenue,Fruits,Transitioning to Organic,Flood,Combination,Mulching,Yes,0,No,Not involved,Attended training,Employs women,Digital,Barangay Certificate,None,Barangay Clearance,21,6,11,6,14,58,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Courtney Smith,Annulled,03/12/1961,Steven Ville,Filipino,"5672 H 36th Circle, Bucloc, 1981 Occidental Mindoro",Living with relatives,PhilSys-5470-4159,09152742054,allencarlos@example.net,Johnson,Harper Farm,"4010 Aquarius Extension, Gigmoto, 6805 Eastern Samar",Owned (mortgaged),6,facebook.com/websterfarm,6.5,769752,262593,48,Lump sum,Term Loan,Working capital,Secured Loan,Farm lot title,Asset Sale,Rice (Rain-fed),Transitioning to Organic,Drip,Organic,Crop Rotation,No,6,Yes,Supplier to community,No training,Employs women,Digital,None,Local sari-sari stores,DTI,26,11,9,10,14,70,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Brenda Holder,Separated,08/01/1975,Barbara Ville,Filipino,"4924 G Amber Road, Sogod, 5553 Camarines Sur",Owned (mortgaged),PhilSys-2017-2936,09742684145,dpeters@example.com,David,Powers Farm,"Block 14 Lot 20 Guijo Estates Phase 9, Cresta Street, La Libertad, 7591 Zamboanga del Sur",Owned (mortgaged),8,facebook.com/fordfarm,9.62,601410,130313,48,Lump sum,Term Loan,Loan takeout/refinancing,Secured Loan,Others,Others,Rice (Rain-fed),Organic,Rain-fed,Combination,Water-Saving,No,1,Yes,Coop Member,Attended training,None,None,Fair Trade,Rice mill,DTI,22,15,7,11,12,67,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Jason Butler,Annulled,09/18/1995,Paul Ville,Filipino,"Unit 4124 Nichols Condominiums 1, 4399 Samat Road, Ayungon, 5528 Bataan",Living with relatives,PhilSys-2904-4365,09971870728,lindamatthews@example.net,Hansen,Mendoza Farm,"Block 01 Lot 28 Hayden Estates, Scorpio Street, T'Boli, 8237 Lanao del Norte",Living with relatives,15,facebook.com/hermanfarm,6.08,685941,292419,36,Weekly,Term Loan,Acquisition of real estate,Unsecured Loan,Tractor,Salary/Allowance,Rice (Irrigated),Conventional,Sprinkler,Synthetic,Crop Rotation,Yes,1,No,Coop Member,No training,Employs women,Manual,Fair Trade,None,DTI,16,7,9,8,14,54,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Patricia James,Widow/er,12/17/1995,Kyle Ville,Filipino,"Block 04 Lot 93 Tabayoc Street, Wood Subdivision 1, Santa Rosa, 5489 Ifugao",Living with relatives,PhilSys-7184-7154,09182512868,allentran@example.net,Riley,Butler Farm,"B13 L73 Porter Homes 5, Sierra Madre Road, Pinamalayan, 3737 Camarines Norte",Owned (mortgaged),24,facebook.com/oconnorfarm,9.81,975373,51821,12,Quarterly,Term Loan,Purchase of equipment/motor vehicles,Secured Loan,Others,Inheritance,Rice (Rain-fed),Organic,Sprinkler,Synthetic,Composting,No,3,Yes,Coop Member,No training,None,Manual,Fair Trade,Rice mill,Business Plan,26,11,9,14,19,79,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Charles Payne,Single,03/03/1972,Alexandria Ville,Filipino,"Unit 2527 Kirby Condominiums Tower 2, 2475 Robinson Road, Baliangao, 9479 Surigao del Norte",Owned (unencumbered),PhilSys-8314-1797,09306738302,ismith@example.net,Jenkins,Smith Farm,"4698 Shaw Service Road, Sierra Madre Estates, Binalbagan, 6773 Capiz",Rented,8,facebook.com/allenfarm,8.34,867051,352047,36,Lump sum,Term Loan,Construction/Development of real estate,Secured Loan,Tractor,Others,Corn,Organic,Sprinkler,Synthetic,Mulching,Yes,8,Yes,Not involved,No training,None,Digital,Organic,Supermarket,None,27,6,6,11,13,63,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Dawn Gomez,Annulled,08/27/1986,Nathan Ville,Filipino,"1321 E Aquarius Avenue, Malinao, 3394 Sorsogon",Rented,PhilSys-7821-7688,09246287334,abrown@example.net,Jackson,Porter Farm,"B17 L06 Lewis Village, Amber Street, Jovellar, 4074 Tarlac",Owned (mortgaged),26,facebook.com/barrettfarm,5.17,160423,344852,48,Annually,Credit line,Loan takeout/refinancing,Unsecured Loan,Warehouse receipt,Asset Sale,Vegetables,Conventional,Sprinkler,Synthetic,Crop Rotation,Yes,0,No,Supplier to community,Attended training,Female-led,Manual,None,Rice mill,None,16,10,2,12,6,46,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Samuel Smith,Married,09/28/1973,Karen Ville,Filipino,"B19 L31 Planet Village Phase 6, Tabayoc Street, Barotac Nuevo, 9551 Tawi-Tawi",Rented,PhilSys-5967-1251,09331739363,brian63@example.org,Peterson,Mack Farm,"Block 01 Lot 82 Peridot Road, Talisay Subdivision, Nagcarlan, 8160 Surigao del Norte",Rented,25,facebook.com/willisfarm,3.55,588899,329786,36,Quarterly,Term Loan,Acquisition of real estate,Secured Loan,None,Revenue,Coconut,Transitioning to Organic,Drip,Organic,Mulching,No,6,Yes,Not involved,Attended training,None,Manual,Organic,Supermarket,None,25,10,4,11,13,63,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
